tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
34737,Permitted Site,::,575 Capp St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1997-07-28 00:00:00 UTC,,,Permit Number 38387,6007300.76294173,2103973.10640079,37.7575219604166,-122.417761979765,POINT (-122.417761979765 37.7575219604166)
37316,Permitted Site,::,572 Hill St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-06-15 00:00:00 UTC,,,Permit Number 39831,6002632.74186614,2103295.45378084,37.755397491549,-122.433857422868,POINT (-122.433857422868 37.755397491549)
34736,Permitted Site,::,569 Capp St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1997-07-28 00:00:00 UTC,,,Permit Number 38386,6007298.90712997,2104006.62448648,37.7576138889301,-122.417770773708,POINT (-122.417770773708 37.7576138889301)
37315,Permitted Site,::,561 Hill St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-06-15 00:00:00 UTC,,,Permit Number 39830,6002709.44183784,2103247.60813838,37.7552704710237,-122.43358875215,POINT (-122.43358875215 37.7552704710237)
101476,Significant Tree,::,541 Congo St,1,Sidewalk: Curb side : Cutout,Tree,Private,,2015-05-07 00:00:00 UTC,3,,Permit Number 775316,6000089.0,2095440.1,37.7336838892166,-122.442090592963,POINT (-122.442090592963 37.7336838892166)
43020,Permitted Site,::,537 Steiner St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,2000-07-05 00:00:00 UTC,,,Permit Number 42882,6003129.08838274,2110095.37711913,37.7740965863099,-122.432626609315,POINT (-122.432626609315 37.7740965863099)
43021,Permitted Site,::,537 Steiner St,2,Sidewalk: Curb side : Cutout,Tree,Private,,2000-07-05 00:00:00 UTC,,,Permit Number 42882,6003129.08838274,2110095.37711913,37.7740965863099,-122.432626609315,POINT (-122.432626609315 37.7740965863099)
114726,Significant Tree,::,520 Townsend St,2,Front Yard : Yard,Tree,Private,,,,,,6012508.1,2109575.3,37.7731959986981,-122.400146236912,POINT (-122.400146236912 37.7731959986981)
114725,Significant Tree,::,520 Townsend St,1,Front Yard : Yard,Tree,Private,,,,,,6012508.1,2109575.3,37.7731959986981,-122.400146236912,POINT (-122.400146236912 37.7731959986981)
36924,Permitted Site,::,516 Douglass St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-05-27 00:00:00 UTC,,,Permit Number 39568,6001154.35821609,2103257.26025902,37.7552086167448,-122.438967374074,POINT (-122.438967374074 37.7552086167448)
108797,Undocumented,::,501-599 University St,4,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108795,Undocumented,::,501-599 University St,2,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108800,Undocumented,::,501-599 University St,8,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108799,Undocumented,::,501-599 University St,7,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108801,Undocumented,::,501-599 University St,10,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108798,Undocumented,::,501-599 University St,6,Sidewalk: Curb side : Cutout,Tree,Private,,,,,,6008503.45306,2091469.83252,37.7232583218261,-122.412718672961,POINT (-122.412718672961 37.7232583218261)
108771,Undocumented,::,500X Lathrop Ave,10,Sidewalk: Curb side : Cutout,Tree,Private,FUF,,,,,6012750.2,2086624.6,37.7101917236901,-122.397698699654,POINT (-122.397698699654 37.7101917236901)
108765,Undocumented,::,500X Lathrop Ave,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,,,,,6012750.2,2086624.6,37.7101917236901,-122.397698699654,POINT (-122.397698699654 37.7101917236901)
31149,Permitted Site,::,500 Hearst Ave,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34853,5998089.630643,2094417.27408922,37.7307613077995,-122.44892931603,POINT (-122.44892931603 37.7307613077995)
