unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11546491,JB567128,2018-12-25 18:53:00 UTC,015XX E 93RD ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,true,true,413,4,8,48,04B,1188226.0,1843624.0,2018,2019-01-01 16:14:44 UTC,41.725980758,-87.586104609,"(41.725980758, -87.586104609)"
11539736,JB558980,2018-12-18 20:25:00 UTC,093XX S KENWOOD AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,413,4,8,47,26,1186767.0,1843373.0,2018,2018-12-25 16:12:35 UTC,41.725326616,-87.591456879,"(41.725326616, -87.591456879)"
11508303,JB517132,2018-11-06 15:00:00 UTC,063XX S LAPORTE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,813,8,13,64,11,1144473.0,1862124.0,2018,2018-11-18 16:02:28 UTC,41.777678595,-87.745913815,"(41.777678595, -87.745913815)"
11473861,JB471019,2018-10-10 15:00:00 UTC,003XX W 24TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,914,9,25,34,11,,,2018,2018-10-17 16:24:56 UTC,,,
11474398,JB472649,2018-09-29 09:00:00 UTC,072XX W BALMORAL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1613,16,41,10,11,1127193.0,1934987.0,2018,2018-10-17 16:18:22 UTC,41.977932152,-87.807627946,"(41.977932152, -87.807627946)"
11449581,JB439997,2018-09-01 09:00:00 UTC,025XX N NEWLAND AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,2512,25,36,18,10,1129661.0,1916073.0,2018,2018-09-20 15:58:47 UTC,41.925988102,-87.798985369,"(41.925988102, -87.798985369)"
11425176,JB407669,2018-08-25 03:56:00 UTC,039XX E 106TH ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,RESIDENCE,true,false,432,4,10,52,26,1204202.0,1835283.0,2018,2018-09-01 16:13:03 UTC,41.702696986,-87.527870651,"(41.702696986, -87.527870651)"
11424003,JB405811,2018-08-23 17:21:00 UTC,098XX S MARYLAND AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,true,true,511,5,8,50,03,1183625.0,1840085.0,2018,2018-09-27 15:56:15 UTC,41.716377684,-87.603068161,"(41.716377684, -87.603068161)"
11450509,JB440638,2018-08-22 14:48:00 UTC,040XX W FOSTER AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,PARKING LOT/GARAGE(NON.RESID.),false,false,1712,17,39,13,11,1148424.0,1934247.0,2018,2018-09-21 16:06:58 UTC,41.97551745,-87.729569215,"(41.97551745, -87.729569215)"
11427571,JB410756,2018-08-17 16:18:00 UTC,069XX W GRAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,2512,25,36,18,26,1129784.0,1915193.0,2018,2018-08-30 16:00:08 UTC,41.923571168,-87.798553561,"(41.923571168, -87.798553561)"
11392926,JB366068,2018-07-25 18:00:00 UTC,062XX N KILDARE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,1711,17,39,12,11,1146581.0,1941033.0,2018,2018-08-01 15:55:43 UTC,41.994174128,-87.736172661,"(41.994174128, -87.736172661)"
