id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
691,true,51.47946386,false,-0.195777222,"Erin Close, Walham Green",0,24,24,false,200184,2013-11-18,
746,true,51.4795738,false,-0.17903854,"Lots Road, West Chelsea",0,24,24,false,300076,2013-12-02,
799,true,51.4976984561,false,-0.137598896295,"Kings Gate House, Westminster",0,24,24,false,300202,2016-06-02,
68,true,51.52059681,false,-0.116688468,"Theobald's Road , Holborn",0,26,25,false,975,2010-07-11,
84,true,51.51593725,false,-0.111778348,"Breams Buildings, Holborn",0,25,25,false,3449,2010-07-13,
88,true,51.51858757,false,-0.132053392,"Bayley Street , Bloomsbury",0,25,25,false,1006,2010-07-13,
248,true,51.50645179,false,-0.170279555,"Triangle Car Park, Hyde Park",0,27,25,false,1088,2010-07-20,
360,true,51.49675303,false,-0.138733562,"Howick Place, Westminster",0,27,25,false,2666,2010-11-05,
368,true,51.50024195,false,-0.15934065,"Harriet Street, Knightsbridge",0,25,25,false,2681,2010-12-01,
703,true,51.51505991,false,-0.10534448,"St. Bride Street, Holborn",0,25,25,false,200094,2013-11-13,
705,true,51.45971528,false,-0.212145939,"Upper Richmond Road, Putney",0,25,25,true,300042,2013-11-14,2018-10-18
835,true,51.516785,false,-0.10494775,"Farringdon Street, Holborn",0,25,25,false,300220,,
838,true,51.518093,false,-0.0914017,"Fore Street Avenue, Guildhall",0,25,25,false,300222,2018-10-11,
15,true,51.51772703,false,-0.127854211,"Great Russell Street, Bloomsbury",0,26,26,false,988,2010-07-05,
18,true,51.51477076,false,-0.12221963,"Drury Lane, Covent Garden",0,27,26,false,1007,2010-07-06,
166,true,51.50185512,false,-0.159237081,"Seville Street, Knightsbridge",0,27,27,false,1177,2010-07-16,
220,true,51.49066456,false,-0.166485083,"Chelsea Green, Chelsea",0,27,27,false,1179,2010-07-19,
541,true,51.506613,false,-0.142844,"Green Park Station, Mayfair",0,28,27,false,200096,,
809,true,51.5162778834,false,-0.118272991635,"Lincoln's Inn Fields, Holborn",0,28,27,false,300240,2016-07-04,
398,true,51.502319,false,-0.200742,"Holland Park, Kensington",0,30,28,false,10631,2011-03-02,
629,true,51.45995384,false,-0.190184054,"Morie Street, Wandsworth",0,28,28,false,200187,2013-10-11,
688,true,51.46095151,false,-0.20066766,"Northfields, Wandsworth",0,28,28,false,200204,2013-11-08,
801,true,51.5052241745,false,-0.0980318118664,"Lavington Street, Bankside",0,29,28,false,300208,2016-03-24,
743,true,51.46079243,false,-0.212607684,"Oxford Road, Putney",0,29,29,false,300078,2013-11-29,
