sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 15:00:00 UTC,TS,14.2498,130.764,,," ",main,616,576,IPPP_____III__," ",,," "," ",39,,0,,,,,,,,,,,,,,,," ",14.7498,131.287,9,,996,0,,,0,,,,13.3497,130.25,2,38,994,15.0501,130.747,TD,25,996,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,33,,,,1,33,995,,,33.0,995,145,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-07 21:00:00 UTC,TS,15.2873,133.39,,," ",main,921,859,IPPP_____PPP__," ",,," "," ",31,,-1,,,,,,,,,,,,,,,," ",14.8325,133.849,9,,999,0,,,0,,,,14.1848,133.893,1,29,999,15.8645,133.513,TD,30,992,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7914,132.911,TC,27,,15.824,132.828,1,26,999,15.7914,132.911,27.0,999,120,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 09:00:00 UTC,TS,17.1293,123.092,,," ",main,64,0,IPP______III__," ",,," "," ",58,,0,,,,,,,,,,,,,,,," ",16.9296,122.86,9,,987,0,,,0,,,,17.0299,123.357,2,38,988," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,56,,,,1,56,987,,,56.0,987,215,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 15:00:00 UTC,TS,17.4147,121.643,,," ",main,0,0,IPP______III__," ",,," "," ",60,,0,,,,,,,,,,,,,,,," ",17.1204,120.994,9,,985,0,,,0,,,,17.1977,122.198,2,33,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,60,,,,1,60,985,,,60.0,985,225,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 21:00:00 UTC,TS,16.3768,119.459,,," ",main,33,33,IPP______III__," ",,," "," ",63,,0,,,,,,,,,,,,,,,," ",16.3226,119.083,9,,985,0,,,0,,,,17.8423,121.43,1,24,995," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,63,,,,1,63,984,,,63.0,984,235,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 03:00:00 UTC,TS,14.1906,128.418,,," ",main,385,327,IPP______III__," ",,," "," ",44,,0,,,,,,,,,,,,,,,," ",15.1928,129.265,9,,992,0,,,0,,,,13.4398,127.862,3,58,991," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,40,,,,1,40,993,,,40.0,993,165,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 09:00:00 UTC,TS,14.427,127.2,,," ",main,303,263,IPP______III__," ",,," "," ",47,,0,,,,,,,,,,,,,,,," ",15.5571,127.885,9,,990,0,,,0,,,,13.9548,126.993,3,58,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,43,,,,1,43,992,,,43.0,992,175,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-08 21:00:00 UTC,TS,14.135,129.809,,," ",main,512,444,IPP______III__," ",,," "," ",42,,0,,,,,,,,,,,,,,,," ",14.8773,130.575,9,,995,0,,,0,,,,13.3926,129.042,2,48,993," ",,TD,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,36,,,,1,36,994,,,36.0,994,155,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-10 03:00:00 UTC,TS,16.5669,124.289,,," ",main,194,138,IPP______III__," ",,," "," ",55,,0,,,,,,,,,,,,,,,," ",16.6145,124.23,9,,990,0,,,0,,,,16.6174,124.423,3,43,988," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,53,,,,1,53,988,,,53.0,988,205,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 21:00:00 UTC,TS,15.7528,125.214,,," ",main,223,219,IPP______III__," ",,," "," ",52,,0,,,,,,,,,,,,,,,," ",16.1923,125.392,9,,990,0,,,0,,,,15.6423,125.307,3,53,989," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,50,,,,1,50,989,,,50.0,989,195,,," ",,,,," ",,,WP311971
1971275N10176,1971,131,WP,MM,FAYE(GLORIA):GLORIA,1971-10-09 15:00:00 UTC,TS,14.994,126.16,,," ",main,229,209,IPP______III__," ",,," "," ",50,,0,,,,,,,,,,,,,,,," ",15.8424,126.65,9,,990,0,,,0,,,,14.7925,126.15,3,58,990," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TC,46,,,,1,46,990,,,46.0,990,185,,," ",,,,," ",,,WP311971
1996090N04150,1996,26,WP,MM,ANN,1996-04-02 09:00:00 UTC,TS,9.62863,143.954,,," ",main,1342,1342,IPP___________," ",,," "," ",33,,-1,,,,,,,,,,,,,,,," ",9.99978,144.0,2,,1002,0,,,0,,,,9.25747,143.907,1,29,1000," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-02 03:00:00 UTC,TS,9.53571,144.189,,," ",main,1326,1326,IPP___________," ",,," "," ",34,,0,,,,,,,,,,,,,,,," ",10.0754,144.5,2,,1003,0,,,0,,,,9.09248,144.293,1,29,1000," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-03 21:00:00 UTC,TS,10.1487,140.269,,," ",main,1314,1267,IPP___________," ",,," "," ",27,,-1,,,,,,,,,,,,,,,," ",10.4524,140.395,2,,1003,0,,,0,,,,9.84489,140.142,1,23,1004," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-04 03:00:00 UTC,TS,9.3633,139.548,,," ",main,1210,1150,IPP___________," ",,," "," ",26,,-1,,,,,,,,,,,,,,,," ",9.47708,139.597,2,,1004,0,,,0,,,,9.24952,139.498,1,26,1003," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-03 15:00:00 UTC,TS,10.5638,140.944,,," ",main,1392,1368,IPP___________," ",,," "," ",28,,-1,,,,,,,,,,,,,,,," ",11.0099,140.93,2,,1002,0,,,0,,,,10.1176,140.958,1,23,1004," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-03 09:00:00 UTC,TS,10.5124,141.464,,," ",main,1404,1398,IPP___________," ",,," "," ",29,,-1,,,,,,,,,,,,,,,," ",11.1673,141.197,2,,1002,0,,,0,,,,9.85742,141.73,1,23,1004," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-03 03:00:00 UTC,TS,10.2114,142.089,,," ",main,1391,1387,IPP___________," ",,," "," ",30,,-1,,,,,,,,,,,,,,,," ",10.8378,141.935,2,,1002,0,,,0,,,,9.58493,142.242,1,26,1002," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
1996090N04150,1996,26,WP,MM,ANN,1996-04-04 09:00:00 UTC,TS,8.66553,138.045,,," ",main,1086,1052,IPP___________," ",,," "," ",25,,-1,,,,,,,,,,,,,,,," ",8.6755,138.037,2,,1004,0,,,0,,,,8.65557,138.052,1,29,1002," ",," ",,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,," ",,,,," ",,,WP021996
