unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,longitude,location,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20155025309,"PARMER LANE Austin, TX ",,,,,"THEFT                         ",UK,,,,PARMER LANE,Theft,2015-06-11 00:00:00 UTC,,,2015,
20152221218,"TROTWOOD DR Austin, TX ",,2015-10-14 00:00:00 UTC,Not cleared,,"AGG ROBBERY/DEADLY WEAPON     ",UK,,,,TROTWOOD DR,Robbery,2015-08-10 00:00:00 UTC,,,2015,
20153080533,"1030 NORWOOD Austin, TX ",,2015-11-06 00:00:00 UTC,Cleared by Arrest,,"THEFT BY SHOPLIFTING          ",UK,,,,1030 NORWOOD,Theft,2015-11-04 00:00:00 UTC,,,2015,
20142910412,"10301 RR 2222Austin, TXs",,2014-10-29 00:00:00 UTC,Cleared by Arrest,,"AGG ASLT STRANGLE/SUFFOCATE   ",A,,,,10301 RR 2222,Aggravated Assault,2014-10-18 00:00:00 UTC,3082798,10114943,2014,
20142820698,"1200 ONEAL LNAustin, TXs",,2014-10-14 00:00:00 UTC,Not cleared,,"THEFT OF METAL                ",UK,,,,1200 ONEAL LN,Theft: All Other Larceny,2014-10-09 00:00:00 UTC,,,2014,
20165012135,"1306 LYNN ST Austin, TX ",,,,,"BURGLARY OF VEHICLE           ",UK,,,,1306 LYNN ST,Theft,2016-03-22 00:00:00 UTC,,,2016,
2014990420,"1748 HOLEN RDAustin, TXs",,2014-04-11 00:00:00 UTC,Not cleared,,"AUTO THEFT                    ",UK,,,,1748 HOLEN RD,Auto Theft,2014-04-09 00:00:00 UTC,,,2014,
20165019227,"337 E 6TH ST Austin, TX ",,,,,"THEFT                         ",UK,,,,337 E 6TH ST,Theft,2016-05-09 00:00:00 UTC,,,2016,
2016180558,"5751 HARTSON Austin, TX ",,,,,"BURGLARY OF VEHICLE           ",UK,,,,5751 HARTSON,Theft,2016-01-18 00:00:00 UTC,,,2016,
20165011820,"6512 MC NEIL Austin, TX ",,2016-04-06 00:00:00 UTC,Not cleared,,"BURGLARY NON RESIDENCE        ",UK,,,,6512 MC NEIL,Burglary,2016-03-21 00:00:00 UTC,,,2016,
20141791017,"7101 EASY WAYAustin, TXs",,2014-06-30 00:00:00 UTC,Not cleared,,"AUTO THEFT                    ",I,,,,7101 EASY WAY,Auto Theft,2014-06-28 00:00:00 UTC,3121161,10096635,2014,
20165039134,"8502 ROAN LN Austin, TX ",,2016-09-30 00:00:00 UTC,Not cleared,,"BURGLARY OF VEHICLE           ",D,,,,8502 ROAN LN,Theft,2016-09-21 00:00:00 UTC,,,2016,
20145052847,"DOMAIN AUSTINAustin, TXs",,2014-12-02 00:00:00 UTC,Not cleared,,"THEFT                         ",UK,,,,DOMAIN AUSTIN,Theft: All Other Larceny,2014-12-01 00:00:00 UTC,,,2014,
20158000456,"120 W. 4TH ST Austin, TX ",,,,,"THEFT OF BICYCLE              ",UK,,,,120 W. 4TH ST,Theft,2015-02-09 00:00:00 UTC,,,2015,
20165010318,"12901 N IH-35 Austin, TX ",,2016-03-28 00:00:00 UTC,Not cleared,,"THEFT                         ",UK,,,,12901 N IH-35,Theft,2016-03-10 00:00:00 UTC,,,2016,
20165022138,"16404 PARKWAY Austin, TX ",,,,,"BURGLARY OF VEHICLE           ",UK,,,,16404 PARKWAY,Theft,2016-05-29 00:00:00 UTC,,,2016,
20153610934,"1900 MCBEE ST Austin, TX ",,2016-02-05 00:00:00 UTC,Not cleared,,"AUTO THEFT                    ",B,,,,1900 MCBEE ST,Auto Theft,2015-12-27 00:00:00 UTC,3127374,10081637,2015,
